Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1.10063E+18,Barney was my favorite on How I met your Mother! I want a reunion! #Howimetyourmother,Miss can't do wrong,missmuffet79,Wed Feb 27 05:52:03 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,1,0
1.10076E+18,#LilyAldrin should've been a goalie!  #HowIMetYourMother https://t.co/Wfd8h5AfHk,jb9180 Social Media Host Revolution,jb9180SMHR,Wed Feb 27 14:22:40 +0000 2019,1,0,English,Twitter Web Client,Tweet,GIF,0,2,0
1.10076E+18,#RobinScherbatsky vows to give #LilyAldrin #SummerTeeth!  #SummerHere  #SummerThere  #HowIMetYourMother https://t.co/iA8cmKuJgR,jb9180 Social Media Host Revolution,jb9180SMHR,Wed Feb 27 14:23:54 +0000 2019,1,0,English,Twitter Web Client,Tweet,GIF,0,6,0
1.10078E+18,"•´¯`•» Ted Mosby//#howimetyourmother 

[my career and love life are heading nowhere!] https://t.co/KS8vMHqRNO",t,feelsoangry,Wed Feb 27 15:21:50 +0000 2019,5,0,English,Twitter for Android,Reply,Video,0,1,0
1.10078E+18,"•´¯`•» Robin Scherbatsky//#howimetyourmother 

[the best i can give you is a fake smile and dead eyes.] https://t.co/MMDuvjP61e",t,feelsoangry,Wed Feb 27 15:29:36 +0000 2019,6,0,English,Twitter for Android,Reply,Video,0,1,0
1.10081E+18,What up Season 6!!!! #HowIMetYourMother,len,lencbr,Wed Feb 27 17:17:58 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,1,0
1.10081E+18,"Barney &amp; Napoleon both crowned themselves. How fitting ??

Kate nerds out about the similarity between this frame &amp; the David painting on our  ""Third Wheel"" recap: https://t.co/ZV9Wc1ESkJ 

#HIMYM #HowIMetYourMother #podcast #ladypodsquad https://t.co/uTe4KzZ5GV","Hey, Beautiful! A HIMYM Podcast",heybeautifulpod,Wed Feb 27 17:23:20 +0000 2019,3,1,English,Twitter Web Client,Tweet,Photo,1,4,0
1.10083E+18,Missed out on tonight’s #howimetyourmother quiz? Don’t forget to book for #brooklynninenine at @abelheywoodnq in 2 weeks time! About 7 team tickets left here: https://t.co/S2uwE7OVxH #quiz #mcr #coolcoolcool https://t.co/VR0jPKXmmK,Quizzly Bears,QuizzlyBears,Wed Feb 27 18:51:31 +0000 2019,0,1,English,Twitter for iPhone,Tweet,GIF,1,5,1
1.10085E+18,I’m dead ????????  #howimetyourmother https://t.co/ilOApyILMy,zero?,infp_89,Wed Feb 27 20:10:23 +0000 2019,0,0,English,Twitter for iPhone,Reply,Photo,0,1,0
1.10087E+18,"Barney &amp; Napoleon both crowned themselves. How fitting ??

Kate nerds out about the similarity between this frame &amp; the David painting on our  ""Third Wheel"" recap: https://t.co/ZV9Wc1ESkJ 

#HIMYM #HowIMetYourMother #podcast #ladypodsquad https://t.co/uTe4KzZ5GV","Hey, Beautiful! A HIMYM Podcast",heybeautifulpod,Wed Feb 27 21:20:09 +0000 2019,0,0,English,Twitter Web Client,Retweet,Photo,1,4,0
1.1009E+18,@netflix i would bring back #howIMetYourMother https://t.co/LiY8Pob4Tq,madmaya_moxxx,Mirya666Moxxx,Wed Feb 27 23:21:55 +0000 2019,0,0,English,Twitter for Android,Reply,GIF,0,1,1
1.10094E+18,The Peacock is NPH(Neil has an under valued singing voice). I firmly believe this. I know I may be wrong but some of the mannerisms remind me of Barney from #howimetyourmother &amp; other clues scream #NPH #TheMaskedSinger,W. L Wright,LWright41,Thu Feb 28 02:01:58 +0000 2019,1,0,English,Twitter for Android,Tweet,,0,3,0
1.10094E+18,@socialstudiestx @DrJHarmon This reminds me of Barney’s theories on Karate Kid #HowIMetYourMother,Logan Silva,mendoteach,Thu Feb 28 02:02:33 +0000 2019,1,0,English,Twitter for iPhone,Reply,,0,1,2
1.10095E+18,He Just Gives Me Barney #HowIMetYourMother,October11th,RocketLove_,Thu Feb 28 02:36:27 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,1,0
1.10095E+18,When you’re watching Hulu and see this commercial and realize heather Mosby really did something with her life!! ????#heathermosby #tesmosby #tedshotsisterheather #barneystinson #himym #howimetyourmother https://t.co/edmtgAVsbV,Tiara Henderson????,FlyerThanUTink,Thu Feb 28 02:41:13 +0000 2019,0,0,English,Twitter for iPhone,Tweet,Photo,0,6,0
1.10096E+18,"“We’re over. And i know it’s for the best. It’s just i was finally ready for something serious.” 
-Robin
 #howimetyourmother",????? ??????,AmthalSh_,Thu Feb 28 03:23:13 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,1,0
